,data_year,building_id_source,property_name,reporting_status,address,zip_code,chicago_energy_rating,exempt_from_chicago_energy_rating,community_area,primary_property_type,gross_floor_area_buildings_sq_ft,year_built,num_buildings,water_use_kgal,energy_star_score,electricity_use_kbtu,natural_gas_use_kbtu,district_steam_use_kbtu,district_chilled_water_use_kbtu,all_other_fuel_use_kbtu,site_eui_kbtu_per_sq_ft,source_eui_kbtu_per_sq_ft,weather_normalized_site_eui_kbtu_per_sq_ft,weather_normalized_source_eui_kbtu_per_sq_ft,total_ghg_emissions_metric_tons_co2e,ghg_intensity_kg_co2e_per_sq_ft,latitude,longitude,location,reporting_year,address_norm,lat_round6,lon_round6,row_id,resolved_building_id
count,21051.0,21051.0,18088,21051,21051,19683.0,19406.0,17966,20743,16797,18826.0,16024.0,16597.0,4049.0,13548.0,15795.0,15008.0,5555.0,5634.0,15.0,15657.0,14798.0,14652.0,13292.0,14545.0,14541.0,21036.0,21036.0,21036,21051.0,21051,21036.0,21036.0,10601,21051
unique,,,6569,5,7331,,,2,157,61,,,,,,,,,,,,,,,,,,,9544,,5024,,,10601,3803
top,,,-,Submitted,7601 S Cicero Ave,,,False,NEAR NORTH SIDE,Multifamily Housing,,,,,,,,,,,,,,,,,,,POINT (-87.65844752 41.9398511),,7601 S CICERO AVE,,,2021-101671,id_250054
freq,,,10,10294,10,,,16324,2530,8226,,,,,,,,,,,,,,,,,,,281,,12,,,1,6
mean,2020.5126597311291,189391.9151109211,,,,91410.67692932989,2.214521282077708,,,,243286.08873897803,1965.0722041937095,1.4162197987588119,21390.9755495184,58.5448774726897,9868158.312940804,11486236.1828758,1794087.5026642666,1764373.8050230742,1453638.8333333333,95.43432330586955,162.5677118529531,96.57826917826918,160.37387150165512,2103.6257751804746,8.53751392613988,41.8815412018715,-87.65443131676507,,2021.5126597311291,,41.88154119656779,-87.65443132220955,,
std,1.6962915563838374,60421.05520135739,,,,4319820.102715759,1.5266160124629902,,,,397452.15783631534,37.69786424112446,4.695453727726163,628180.6784775279,26.991212580090462,28881693.874113616,30696078.88134289,21059826.419662707,14059713.197484566,3376423.3201996977,235.22471170857276,275.30631264422794,196.63340949571526,199.28679044672216,5344.6133149436055,14.286706316527965,0.09446679961988479,0.08991394941136102,,1.6962915563838374,,0.09446681300066298,0.08991395070140079,,
min,2018.0,100001.0,,,,2210.0,0.0,,,,2804.0,1692.0,0.0,0.0,1.0,0.0,-4774717.8,-11882688.3,-1344840.0,11062.3,0.1,0.3,0.1,0.3,0.0,0.0,32.949589,-96.734051,,2019.0,,32.949589,-96.734051,,
25%,2019.0,129963.0,,,,60610.0,1.0,,,,73708.0,1928.0,1.0,1320.0,38.0,1739336.85,3176365.65,0.0,0.0,42539.649999999994,59.5,102.7,61.7,105.7,509.4,5.3,41.84978233,-87.66829765,,2020.0,,41.849782,-87.668298,,
50%,2021.0,175320.0,,,,60618.0,2.5,,,,120000.0,1970.0,1.0,3326.0,62.0,3728503.9,5805786.25,0.0,0.0,59157.5,77.6,130.55,80.8,133.55,930.1,6.8,41.88774849,-87.642083435,,2022.0,,41.887748,-87.64208350000001,,
75%,2022.0,251625.0,,,,60642.0,4.0,,,,251800.5,2000.0,1.0,7381.0,81.0,8764380.95,11820501.524999999,0.0,0.0,165275.0,100.2,169.5,103.5,170.4,1985.0,8.9,41.92481968,-87.626777,,2023.0,,41.92482,-87.626777,,
max,2023.0,260184.0,,,,606114594.0,4.0,,,,9245333.0,2023.0,236.0,37878933.0,100.0,1114458041.0,1642941217.0,804899285.5,455641579.1,11208001.1,15634.5,16485.4,14392.8,11802.4,185162.1,834.9,42.02237241178,-87.52791304,,2024.0,,42.022372,-87.527913,,
